disease,symptom
Dry skin,Redness
Dry skin,Deep cracks that may bleed
Dumping syndrome,Feeling bloated or too full after eating
Dumping syndrome,Nausea
Dumping syndrome,Vomiting
Dumping syndrome,Abdominal cramps
Dumping syndrome,Diarrhea
Dumping syndrome,Flushing
Dumping syndrome,"Dizziness, lightheadedness"
Dumping syndrome,Rapid heart rate
Dumping syndrome,Sweating
Dumping syndrome,Flushing
Dumping syndrome,"Dizziness, lightheadedness"
Dumping syndrome,Weakness
Dumping syndrome,Rapid heart rate
Dyshidrosis,Stress. Dyshidrosis appears to be more common during times of emotional or physical stress.
Dyshidrosis,Exposure to certain metals. These include cobalt and nickel — usually in an industrial setting.
Dyshidrosis,Sensitive skin. People who develop a rash after contact with certain irritants are more likely to experience dyshidrosis.
Dyshidrosis,Atopic dermatitis. Some people with atopic dermatitis may develop dyshidrotic eczema.
Persistent depressive disorder (dysthymia),Loss of interest in daily activities
Persistent depressive disorder (dysthymia),"Sadness, emptiness or feeling down"
Persistent depressive disorder (dysthymia),Hopelessness
Persistent depressive disorder (dysthymia),Tiredness and lack of energy
Persistent depressive disorder (dysthymia),"Low self-esteem, self-criticism or feeling incapable"
Persistent depressive disorder (dysthymia),Trouble concentrating and trouble making decisions
Persistent depressive disorder (dysthymia),Irritability or excessive anger
Persistent depressive disorder (dysthymia),"Decreased activity, effectiveness and productivity"
Persistent depressive disorder (dysthymia),Avoidance of social activities
Persistent depressive disorder (dysthymia),Feelings of guilt and worries over the past
Persistent depressive disorder (dysthymia),Poor appetite or overeating
Persistent depressive disorder (dysthymia),Sleep problems
E. coli,"Diarrhea, which may range from mild and watery to severe and bloody"
E. coli,"Stomach cramping, pain or tenderness"
E. coli,"Nausea and vomiting, in some people"
Ear infection (middle ear),"Ear pain, especially when lying down"
Ear infection (middle ear),Tugging or pulling at an ear
Ear infection (middle ear),Trouble sleeping
Ear infection (middle ear),Crying more than usual
Ear infection (middle ear),Fussiness
Ear infection (middle ear),Trouble hearing or responding to sounds
Ear infection (middle ear),Loss of balance
Ear infection (middle ear),Fever of 100 F (38 C) or higher
Ear infection (middle ear),Drainage of fluid from the ear
Ear infection (middle ear),Headache
Ear infection (middle ear),Loss of appetite
Swimmer's ear,Itching in your ear canal
Swimmer's ear,Slight redness inside your ear
Swimmer's ear,"Mild discomfort that's made worse by pulling on your outer ear (pinna or auricle) or pushing on the little ""bump"" in front of your ear (tragus)"
Swimmer's ear,"Some drainage of clear, odorless fluid"
Precocious puberty,Breast growth and first period in girls
Precocious puberty,"Enlarged testicles and penis, facial hair and deepening voice in boys"
Precocious puberty,Pubic or underarm hair
Precocious puberty,Rapid growth
Precocious puberty,Acne
Precocious puberty,Adult body odor
Eating disorders,Skipping meals or making excuses for not eating
Eating disorders,Adopting an overly restrictive vegetarian diet
Eating disorders,Excessive focus on healthy eating
Eating disorders,Making own meals rather than eating what the family eats
Eating disorders,Withdrawing from normal social activities
Eating disorders,Persistent worry or complaining about being fat and talk of losing weight
Eating disorders,Frequent checking in the mirror for perceived flaws
Eating disorders,Repeatedly eating large amounts of sweets or high-fat foods
Eating disorders,"Use of dietary supplements, laxatives or herbal products for weight loss"
Eating disorders,Excessive exercise
Eating disorders,Calluses on the knuckles from inducing vomiting
Eating disorders,Problems with loss of tooth enamel that may be a sign of repeated vomiting
Eating disorders,Leaving during meals to use the toilet
Eating disorders,Eating much more food in a meal or snack than is considered normal
Eating disorders,"Expressing depression, disgust, shame or guilt about eating habits"
Eating disorders,Eating in secret
Ebstein anomaly,"Shortness of breath, especially with exertion"
Ebstein anomaly,Fatigue
Ebstein anomaly,Heart palpitations or abnormal heart rhythms (arrhythmias)
Ebstein anomaly,A bluish discoloration of the lips and skin caused by low oxygen (cyanosis)
Premature ventricular contractions (PVCs),Fluttering
Premature ventricular contractions (PVCs),Pounding or jumping
Premature ventricular contractions (PVCs),Skipped beats or missed beats
Premature ventricular contractions (PVCs),Increased awareness of your heartbeat
Ectopic pregnancy,Severe abdominal or pelvic pain accompanied by vaginal bleeding
Ectopic pregnancy,Extreme lightheadedness or fainting
Ectopic pregnancy,Shoulder pain
Ectropion,"Watery eyes (excessive tearing). Without proper drainage, your tears may pool and constantly flow over your eyelids."
Ectropion,"Excessive dryness. Ectropion can cause your eyes to feel dry, gritty and sandy."
Ectropion,"Irritation. Stagnant tears or dryness can irritate your eyes, causing a burning sensation and redness in your eyelids and the whites of your eyes."
Ectropion,"Sensitivity to light. Stagnant tears or dry eyes can irritate the surface of the cornea, making you sensitive to light."
Erectile dysfunction,Trouble getting an erection
Erectile dysfunction,Trouble keeping an erection
Erectile dysfunction,Reduced sexual desire
Edema,"Swelling or puffiness of the tissue directly under your skin, especially in your legs or arms"
Edema,Stretched or shiny skin
Edema,"Skin that retains a dimple (pits), after being pressed for several seconds"
Edema,Increased abdominal size
Pulmonary edema,Difficulty breathing (dyspnea) or extreme shortness of breath that worsens with activity or when lying down
Pulmonary edema,A feeling of suffocating or drowning that worsens when lying down
Pulmonary edema,A cough that produces frothy sputum that may be tinged with blood
Pulmonary edema,Wheezing or gasping for breath
Pulmonary edema,"Cold, clammy skin"
Pulmonary edema,"Anxiety, restlessness or a sense of apprehension"
Pulmonary edema,Bluish ips
Pulmonary edema,"A rapid, irregular heartbeat (palpitations)"
Ehrlichiosis and anaplasmosis,Moderate fever
Ehrlichiosis and anaplasmosis,Chills
Ehrlichiosis and anaplasmosis,Headache
Ehrlichiosis and anaplasmosis,Muscles aches or pains
Ehrlichiosis and anaplasmosis,General feeling of being unwell
Ehrlichiosis and anaplasmosis,Joint pain
Ehrlichiosis and anaplasmosis,Nausea
Ehrlichiosis and anaplasmosis,Vomiting
Ehrlichiosis and anaplasmosis,Diarrhea
Ehrlichiosis and anaplasmosis,Loss of appetite
Ehrlichiosis and anaplasmosis,Confusion or changes in mental state
Ehrlichiosis and anaplasmosis,Rash
Eisenmenger syndrome,Bluish or grayish skin color (cyanosis)
Eisenmenger syndrome,"Large, rounded fingernails or toenails (clubbing)"
Eisenmenger syndrome,Easily tiring and shortness of breath with activity
Eisenmenger syndrome,Shortness of breath while at rest
Eisenmenger syndrome,Chest pain or tightness
Eisenmenger syndrome,Skipped or racing heartbeats (palpitations)
Eisenmenger syndrome,Dizziness or fainting
Eisenmenger syndrome,Coughing up blood
Eisenmenger syndrome,Numbness or tingling in fingers or toes
Eisenmenger syndrome,Headaches
Elevated blood pressure,Obstructive sleep apnea
Elevated blood pressure,Kidney disease
Elevated blood pressure,Adrenal disease
Elevated blood pressure,Thyroid disease
Pulmonary embolism,Shortness of breath. This symptom typically appears suddenly and always gets worse with exertion.
Pulmonary embolism,"Chest pain. You may feel like you're having a heart attack. The pain is often sharp and felt when you breathe in deeply, often stopping you from being able to take a deep breath. It can also be felt when you cough, bend or stoop."
Pulmonary embolism,Cough. The cough may produce bloody or blood-streaked sputum.
Pulmonary embolism,Rapid or irregular heartbeat
Pulmonary embolism,Lightheadedness or dizziness
Pulmonary embolism,Excessive sweating
Pulmonary embolism,Fever
Pulmonary embolism,"Leg pain or swelling, or both, usually in the calf caused by a deep vein thrombosis"
Pulmonary embolism,Clammy or discolored skin (cyanosis)
Encephalitis,Headache
Encephalitis,Fever
Encephalitis,Aches in muscles or joints
Encephalitis,Fatigue or weakness
Encephalitis,"Confusion, agitation or hallucinations"
Encephalitis,Seizures
Encephalitis,Loss of sensation or paralysis in certain areas of the face or body
Encephalitis,Muscle weakness
Encephalitis,Problems with speech or hearing
Encephalitis,Loss of consciousness (including coma)
Encephalitis,Bulging in the soft spots (fontanels) of an infant's skull
Encephalitis,Nausea and vomiting
Encephalitis,Body stiffness
Encephalitis,Poor feeding or not waking for a feeding
Encephalitis,Irritability
Encopresis,"Leakage of stool or liquid stool on underwear, which can be mistaken for diarrhea"
Encopresis,"Constipation with dry, hard stool"
Encopresis,Passage of large stool that clogs or almost clogs the toilet
Encopresis,Avoidance of bowel movements
Encopresis,Long periods of time between bowel movements
Encopresis,Lack of appetite
Encopresis,Abdominal pain
Encopresis,Problems with daytime wetting or bedwetting (enuresis)
Encopresis,"Repeated bladder infections, typically in girls"
End-stage renal disease,Nausea
End-stage renal disease,Vomiting
End-stage renal disease,Loss of appetite
End-stage renal disease,Fatigue and weakness
End-stage renal disease,Sleep problems
End-stage renal disease,Changes in how much you urinate
End-stage renal disease,Decreased mental sharpness
End-stage renal disease,Muscle twitches and cramps
End-stage renal disease,Swelling of feet and ankles
End-stage renal disease,Persistent itching
End-stage renal disease,"Chest pain, if fluid builds up around the lining of the heart"
End-stage renal disease,"Shortness of breath, if fluid builds up in the lungs"
End-stage renal disease,High blood pressure (hypertension) that's difficult to control
Endocarditis,Aching joints and muscles
Endocarditis,Chest pain when you breathe
Endocarditis,Fatigue
Endocarditis,"Flu-like symptoms, such as fever and chills"
Endocarditis,Night sweats
Endocarditis,Shortness of breath
Endocarditis,"Swelling in your feet, legs or abdomen"
Endocarditis,"A new or changed heart murmur, which is the heart sound made by blood rushing through your heart"
Endocarditis,Unexplained weight loss
Endocarditis,"Blood in your urine, which you might be able to see or that your doctor might see when he or she views your urine under a microscope"
Endocarditis,"Tenderness in your spleen, which is an infection-fighting organ located just below your left rib cage"
Endocarditis,Red spots on the soles of your feet or the palms of your hands (Janeway lesions)
Endocarditis,"Red, tender spots under the skin of your fingers or toes (Osler's nodes)"
Endocarditis,"Tiny purple or red spots, called petechiae (puh-TEE-kee-ee), on the skin, in the whites of your eyes or inside your mouth"
Uterine polyps,"Irregular menstrual bleeding — for example, having frequent, unpredictable periods of variable length and heaviness"
Uterine polyps,Bleeding between menstrual periods
Uterine polyps,Excessively heavy menstrual periods
Uterine polyps,Vaginal bleeding after menopause
Uterine polyps,Infertility
Endometriosis,Painful periods (dysmenorrhea). Pelvic pain and cramping may begin before and extend several days into a menstrual period. You may also have lower back and abdominal pain.
Endometriosis,Pain with intercourse. Pain during or after sex is common with endometriosis.
Endometriosis,Pain with bowel movements or urination. You're most likely to experience these symptoms during a menstrual period.
Endometriosis,Excessive bleeding. You may experience occasional heavy menstrual periods or bleeding between periods (intermenstrual bleeding).
Endometriosis,"Infertility. Sometimes, endometriosis is first diagnosed in those seeking treatment for infertility."
Endometriosis,"Other signs and symptoms. You may experience fatigue, diarrhea, constipation, bloating or nausea, especially during menstrual periods."
Enlarged breasts in men (gynecomastia),Swollen breast tissue
Enlarged breasts in men (gynecomastia),Breast tenderness
Enlarged liver,Abdominal pain
Enlarged liver,Fatigue
Enlarged liver,Nausea and vomiting
Enlarged liver,Yellowing of the skin and the whites of the eyes (jaundice)
Enlarged spleen (splenomegaly),Pain or fullness in the left upper belly that can spread to the left shoulder
Enlarged spleen (splenomegaly),A feeling of fullness without eating or after eating a small amount because the spleen is pressing on your stomach
Enlarged spleen (splenomegaly),Low red blood cells (anemia)
Enlarged spleen (splenomegaly),Frequent infections
Enlarged spleen (splenomegaly),Bleeding easily
Entropion,The feeling that something is in your eye
Entropion,Eye redness
Entropion,Eye irritation or pain
Entropion,Sensitivity to light and wind
Entropion,Watery eyes (excessive tearing)
Entropion,Mucous discharge and eyelid crusting
Eosinophilic esophagitis,Difficulty swallowing (dysphagia)
Eosinophilic esophagitis,Food getting stuck in the esophagus after swallowing (impaction)
Eosinophilic esophagitis,Chest pain that is often centrally located and does not respond to antacids
Eosinophilic esophagitis,Backflow of undigested food (regurgitation)
Eosinophilic esophagitis,"Difficulty feeding, in infants"
Eosinophilic esophagitis,"Difficulty eating, in children"
Eosinophilic esophagitis,Vomiting
Eosinophilic esophagitis,Abdominal pain
Eosinophilic esophagitis,Difficulty swallowing (dysphagia)
Eosinophilic esophagitis,Food getting stuck in the esophagus after swallowing (impaction)
Eosinophilic esophagitis,No response to GERD medication
Eosinophilic esophagitis,"Failure to thrive (poor growth, malnutrition and weight loss)"
Epidermolysis bullosa,"Fragile skin that blisters easily, especially on the hands and feet"
Epidermolysis bullosa,Nails that are thick or don't form
Epidermolysis bullosa,Blisters inside the mouth and throat
Epidermolysis bullosa,Thickened skin on the palms and soles of the feet
Epidermolysis bullosa,"Scalp blistering, scarring and hair loss (scarring alopecia)"
Epidermolysis bullosa,Thin-appearing skin (atrophic scarring)
Epidermolysis bullosa,Tiny white skin bumps or pimples (milia)
Epidermolysis bullosa,"Dental problems, such as tooth decay from poorly formed enamel"
Epidermolysis bullosa,Difficulty swallowing (dysphagia)
Epidermolysis bullosa,"Itchy, painful skin"
Epididymitis,"A swollen, red or warm scrotum"
Epididymitis,"Testicle pain and tenderness, usually on one side, that usually comes on gradually"
Epididymitis,Painful urination or an urgent or frequent need to urinate
Epididymitis,Discharge from the penis
Epididymitis,Pain or discomfort in the lower abdomen or pelvic area
Epididymitis,Blood in the semen
Epididymitis,"Less commonly, fever"
Epiglottitis,Fever
Epiglottitis,Severe sore throat
Epiglottitis,"Abnormal, high-pitched sound when breathing in (stridor)"
Epiglottitis,Difficult and painful swallowing
Epiglottitis,Drooling
Epiglottitis,"Anxious, restless behavior"
Epiglottitis,Feeling better when sitting up or leaning forward
Epilepsy,Temporary confusion
Epilepsy,A staring spell
Epilepsy,Uncontrollable jerking movements of the arms and legs
Epilepsy,Loss of consciousness or awareness
Epilepsy,"Psychic symptoms such as fear, anxiety or deja vu"
Stevens-Johnson syndrome,Fever
Stevens-Johnson syndrome,A sore mouth and throat
Stevens-Johnson syndrome,Fatigue
Stevens-Johnson syndrome,Burning eyes
Stevens-Johnson syndrome,Unexplained widespread skin pain
Stevens-Johnson syndrome,A red or purplish rash that spreads
Stevens-Johnson syndrome,"Blisters on your skin and the mucous membranes of the mouth, nose, eyes and genitals"
Stevens-Johnson syndrome,Shedding of skin within days after blisters form
Esophageal varices,Vomiting large amounts of blood
Esophageal varices,"Black, tarry or bloody stools"
Esophageal varices,Lightheadedness
Esophageal varices,Loss of consciousness in severe cases
Esophageal varices,Yellow coloration of your skin and eyes (jaundice)
Esophageal varices,Easy bleeding or bruising
Esophageal varices,Fluid buildup in your abdomen (ascites)
Esophagitis,Difficult swallowing
Esophagitis,Painful swallowing
Esophagitis,"Chest pain, particularly behind the breastbone, that occurs with eating"
Esophagitis,Swallowed food becoming stuck in the esophagus (food impaction)
Esophagitis,Heartburn
Esophagitis,Acid regurgitation
Esophagitis,Feeding difficulties
Esophagitis,Failure to thrive
Ewing sarcoma,"Pain, swelling or tenderness near the affected area"
Ewing sarcoma,Bone pain
Ewing sarcoma,Unexplained tiredness
Ewing sarcoma,Fever with no known cause
Ewing sarcoma,Losing weight without trying
Hirsutism,Deepening voice
Hirsutism,Balding
Hirsutism,Acne
Hirsutism,Decreased breast size
Hirsutism,Increased muscle mass
Hirsutism,Enlargement of the clitoris
Menorrhagia (heavy menstrual bleeding),Soaking through one or more sanitary pads or tampons every hour for several consecutive hours
Menorrhagia (heavy menstrual bleeding),Needing to use double sanitary protection to control your menstrual flow
Menorrhagia (heavy menstrual bleeding),Needing to wake up to change sanitary protection during the night
Menorrhagia (heavy menstrual bleeding),Bleeding for longer than a week
Menorrhagia (heavy menstrual bleeding),Passing blood clots larger than a quarter
Menorrhagia (heavy menstrual bleeding),Restricting daily activities due to heavy menstrual flow
Menorrhagia (heavy menstrual bleeding),"Symptoms of anemia, such as tiredness, fatigue or shortness of breath"
Exercise headaches,Are usually described as throbbing
Exercise headaches,Occur during or after strenuous exercise
Exercise headaches,Affect both sides of the head in most cases
Eye floaters,"Small shapes in your vision that appear as dark specks or knobby, transparent strings of floating material"
Eye floaters,"Spots that move when you move your eyes, so when you try to look at them, they move quickly out of your visual field"
Eye floaters,"Spots that are most noticeable when you look at a plain bright background, such as a blue sky or a white wall"
Eye floaters,Small shapes or strings that eventually settle down and drift out of the line of vision
Factitious disorder,Extensive knowledge of medical terms and diseases
Factitious disorder,Vague or inconsistent symptoms
Factitious disorder,Conditions that get worse for no apparent reason
Factitious disorder,Conditions that don't respond as expected to standard therapies
Factitious disorder,"Seeking treatment from many different doctors or hospitals, which may include using a fake name"
Factitious disorder,Reluctance to allow doctors to talk to family or friends or to other health care professionals
Factitious disorder,Frequent stays in the hospital
Factitious disorder,Eagerness to have frequent testing or risky operations
Factitious disorder,Many surgical scars or evidence of numerous procedures
Factitious disorder,Having few visitors when hospitalized
Factitious disorder,Arguing with doctors and staff
Factor V Leiden,Pain
Factor V Leiden,Swelling
Factor V Leiden,Redness
Factor V Leiden,Warmth
Flatfeet,Obesity
Flatfeet,Injury to your foot or ankle
Flatfeet,Rheumatoid arthritis
Flatfeet,Aging
Flatfeet,Diabetes
Tetralogy of Fallot,A bluish coloration of the skin caused by low blood oxygen levels (cyanosis)
Tetralogy of Fallot,"Shortness of breath and rapid breathing, especially during feeding or exercise"
Tetralogy of Fallot,Poor weight gain
Tetralogy of Fallot,Tiring easily during play or exercise
Tetralogy of Fallot,Irritability
Tetralogy of Fallot,Prolonged crying
Tetralogy of Fallot,Heart murmur
Tetralogy of Fallot,Fainting
Tetralogy of Fallot,"An abnormal, rounded shape of the nail bed in the fingers and toes (clubbing)"
Familial Mediterranean fever,Fever
Familial Mediterranean fever,Abdominal pain
Familial Mediterranean fever,Chest pain
Familial Mediterranean fever,"Achy, swollen joints"
Familial Mediterranean fever,"A red rash on your legs, especially below your knees"
Familial Mediterranean fever,Muscle aches
Familial Mediterranean fever,"A swollen, tender scrotum"
Febrile seizure,Have a fever higher than 100.4 F (38.0 C)
Febrile seizure,Lose consciousness
Febrile seizure,Shake or jerk the arms and legs
Febrile seizure,Simple febrile seizures. This most common type lasts from a few seconds to 15 minutes. Simple febrile seizures do not recur within a 24-hour period and are not specific to one part of the body.
Febrile seizure,"Complex febrile seizures. This type lasts longer than 15 minutes, occurs more than once within 24 hours or is confined to one side of your child's body."
Female infertility,"Up to age 35, most doctors recommend trying to get pregnant for at least a year before testing or treatment."
Female infertility,"If you're between 35 and 40, discuss your concerns with your doctor after six months of trying."
Female infertility,"If you're older than 40, your doctor might suggest testing or treatment right away."
Female sexual dysfunction,Low sexual desire. This most common of female sexual dysfunctions involves a lack of sexual interest and willingness to be sexual.
Female sexual dysfunction,"Sexual arousal disorder. Your desire for sex might be intact, but you have difficulty with arousal or are unable to become aroused or maintain arousal during sexual activity."
Female sexual dysfunction,Orgasmic disorder. You have persistent or recurrent difficulty in achieving orgasm after sufficient sexual arousal and ongoing stimulation.
Female sexual dysfunction,Sexual pain disorder. You have pain associated with sexual stimulation or vaginal contact.
Fetal alcohol syndrome,"Distinctive facial features, including small eyes, an exceptionally thin upper lip, a short, upturned nose, and a smooth skin surface between the nose and upper lip"
Fetal alcohol syndrome,"Deformities of joints, limbs and fingers"
Fetal alcohol syndrome,Slow physical growth before and after birth
Fetal alcohol syndrome,Vision difficulties or hearing problems
Fetal alcohol syndrome,Small head circumference and brain size
Fetal alcohol syndrome,Heart defects and problems with kidneys and bones
Fetal alcohol syndrome,Poor coordination or balance
Fetal alcohol syndrome,"Intellectual disability, learning disorders and delayed development"
Fetal alcohol syndrome,Poor memory
Fetal alcohol syndrome,Trouble with attention and with processing information
Fetal alcohol syndrome,Difficulty with reasoning and problem-solving
Fetal alcohol syndrome,Difficulty identifying consequences of choices
Fetal alcohol syndrome,Poor judgment skills
Fetal alcohol syndrome,Jitteriness or hyperactivity
Fetal alcohol syndrome,Rapidly changing moods
Fetal alcohol syndrome,Difficulty in school
Fetal alcohol syndrome,Trouble getting along with others
Fetal alcohol syndrome,Poor social skills
Fetal alcohol syndrome,Trouble adapting to change or switching from one task to another
Fetal alcohol syndrome,Problems with behavior and impulse control
Fetal alcohol syndrome,Poor concept of time
Fetal alcohol syndrome,Problems staying on task
Fetal alcohol syndrome,Difficulty planning or working toward a goal
Fetal alcohol syndrome,Alcohol enters your bloodstream and reaches your developing fetus by crossing the placenta
Fetal alcohol syndrome,Alcohol causes higher blood alcohol concentrations in your developing baby than in your body because a fetus metabolizes alcohol slower than an adult does
Fetal alcohol syndrome,Alcohol interferes with the delivery of oxygen and optimal nutrition to your developing baby
Fetal alcohol syndrome,Exposure to alcohol before birth can harm the development of tissues and organs and cause permanent brain damage in your baby
Fetal alcohol syndrome,You're pregnant
Fetal alcohol syndrome,You think you might be pregnant
Fetal alcohol syndrome,You're trying to become pregnant
Fetal alcohol syndrome,Attention deficit/hyperactivity disorder (ADHD)
Fetal alcohol syndrome,"Aggression, inappropriate social conduct, and breaking rules and laws"
Fetal alcohol syndrome,Alcohol or drug misuse
Fetal alcohol syndrome,"Mental health disorders, such as depression, anxiety or eating disorders"
Fetal alcohol syndrome,Problems staying in or completing school
Fetal alcohol syndrome,Problems with independent living and with employment
Fetal alcohol syndrome,Inappropriate sexual behaviors
Fetal alcohol syndrome,"Early death by accident, homicide or suicide"
Fetal alcohol syndrome,"Don't drink alcohol if you're trying to get pregnant. If you haven't already stopped drinking, stop as soon as you know you're pregnant or if you even think you might be pregnant. It's never too late to stop drinking during your pregnancy, but the sooner you stop, the better it is for your baby."
Fetal alcohol syndrome,Continue to avoid alcohol throughout your pregnancy. Fetal alcohol syndrome is completely preventable in children whose mothers don't drink during pregnancy.
Fetal alcohol syndrome,"Consider giving up alcohol during your childbearing years if you're sexually active and you're having unprotected sex. Many pregnancies are unplanned, and damage can occur in the earliest weeks of pregnancy."
Fetal alcohol syndrome,"If you have an alcohol problem, get help before you get pregnant. Get professional help to determine your level of dependence on alcohol and to develop a treatment plan."
Uterine fibroids,Heavy menstrual bleeding
Uterine fibroids,Menstrual periods lasting more than a week
Uterine fibroids,Pelvic pressure or pain
Uterine fibroids,Frequent urination
Uterine fibroids,Difficulty emptying the bladder
Uterine fibroids,Constipation
Uterine fibroids,Backache or leg pains
Fibromuscular dysplasia,High blood pressure
Fibromuscular dysplasia,Poor kidney function
Fibromuscular dysplasia,Headache
Fibromuscular dysplasia,Pulsating ringing in your ears (tinnitus)
Fibromuscular dysplasia,Dizziness
Fibromuscular dysplasia,Sudden neck pain
Fibromuscular dysplasia,Stroke or transient ischemic attack (TIA)
Floor of the mouth cancer,Mouth pain
Floor of the mouth cancer,Sores in your mouth that won't heal
Floor of the mouth cancer,Loose teeth
Floor of the mouth cancer,Pain when you swallow
Floor of the mouth cancer,Weight loss
Floor of the mouth cancer,Ear pain
Floor of the mouth cancer,Swelling in your neck that may hurt
Floor of the mouth cancer,White patches in your mouth that won't go away
Influenza (flu),Fever
Influenza (flu),Aching muscles
Influenza (flu),Chills and sweats
Influenza (flu),Headache
Influenza (flu),"Dry, persistent cough"
Influenza (flu),Shortness of breath
Influenza (flu),Tiredness and weakness
Influenza (flu),Runny or stuffy nose
Influenza (flu),Sore throat
Influenza (flu),Eye pain
Influenza (flu),"Vomiting and diarrhea, but this is more common in children than adults"
H1N1 flu (swine flu),"Fever, but not always"
H1N1 flu (swine flu),Chills
H1N1 flu (swine flu),Cough
H1N1 flu (swine flu),Sore throat
H1N1 flu (swine flu),Runny or stuffy nose
H1N1 flu (swine flu),"Watery, red eyes"
H1N1 flu (swine flu),Body aches
H1N1 flu (swine flu),Headache
H1N1 flu (swine flu),Fatigue
H1N1 flu (swine flu),Diarrhea
H1N1 flu (swine flu),Nausea and vomiting
Stress fractures,"Certain sports. Stress fractures are more common in people who engage in high-impact sports, such as track and field, basketball, tennis, dance or gymnastics."
Stress fractures,"Increased activity. Stress fractures often occur in people who suddenly shift from a sedentary lifestyle to an active training regimen or who rapidly increase the intensity, duration or frequency of training sessions."
Stress fractures,"Sex. Women, especially those who have abnormal or absent menstrual periods, are at higher risk of developing stress fractures."
Stress fractures,"Foot problems. People who have flat feet or high, rigid arches are more likely to develop stress fractures. Worn footwear contributes to the problem."
Stress fractures,Weakened bones. Conditions such as osteoporosis can weaken your bones and make it easier for stress fractures to occur.
Stress fractures,Previous stress fractures. Having had one or more stress fractures puts you at higher risk of having more.
Stress fractures,Lack of nutrients. Eating disorders and lack of vitamin D and calcium can make bones more likely to develop stress fractures.
Frostbite,"At first, cold skin and a prickling feeling"
Frostbite,Numbness
Frostbite,"Red, white, bluish-white or grayish-yellow skin"
Frostbite,Hard or waxy-looking skin
Frostbite,Clumsiness due to joint and muscle stiffness
Frostbite,"Blistering after rewarming, in severe cases"
Frostbite,"Frostnip. Frostnip is a mild form of frostbite. Continued exposure leads to numbness in the affected area. As your skin warms, you may feel pain and tingling. Frostnip doesn't permanently damage the skin."
Frostbite,"Superficial frostbite. Superficial frostbite appears as reddened skin that turns white or pale. Your skin may begin to feel warm — a sign of serious skin involvement. If you treat frostbite with rewarming at this stage, the surface of your skin may appear mottled. And you may notice stinging, burning and swelling. A fluid-filled blister may appear 12 to 36 hours after rewarming the skin."
Frostbite,"Deep (severe) frostbite. As frostbite progresses, it affects all layers of the skin, including the tissues that lie below. Your skin turns white or bluish gray and you may experience numbness, losing all sensation of cold, pain or discomfort in the affected area. Joints or muscles may no longer work. Large blisters form 24 to 48 hours after rewarming. Afterward, the area turns black and hard as the tissue dies."
Fuchs' dystrophy,"Blurred or cloudy vision, sometimes described as a general lack of clarity of vision."
Fuchs' dystrophy,"Fluctuation in vision, with worse symptoms in the morning after awakening and gradually improving during the day. As the disease progresses, blurred vision either can take longer to improve or doesn't improve."
Fuchs' dystrophy,"Glare, which can decrease your vision in dim and bright light."
Fuchs' dystrophy,Seeing halos around lights.
Fuchs' dystrophy,Pain or grittiness from tiny blisters on the surface of your cornea.
Functional dyspepsia,"Pain or burning in the stomach, bloating, excessive belching, or nausea after meals"
Functional dyspepsia,An early feeling of fullness (satiety) when eating
Functional dyspepsia,Pain in the stomach that may sometimes occur unrelated to meals or may be relieved with meals
Gallstones,Sudden and rapidly intensifying pain in the upper right portion of your abdomen
Gallstones,"Sudden and rapidly intensifying pain in the center of your abdomen, just below your breastbone"
Gallstones,Back pain between your shoulder blades
Gallstones,Pain in your right shoulder
Gallstones,Nausea or vomiting
Gangrene,"Skin discoloration — ranging from pale to blue, purple, black, bronze or red, depending on the type of gangrene you have"
Gangrene,Swelling
Gangrene,Blisters
Gangrene,"Sudden, severe pain followed by a feeling of numbness"
Gangrene,A foul-smelling discharge leaking from a sore
Gangrene,"Thin, shiny skin, or skin without hair"
Gangrene,Skin that feels cool or cold to the touch
Gangrene,Low blood pressure
Gangrene,"Fever, although some people may have a body temperature lower than the normal 98.6 F (37 C)"
Gangrene,Rapid heart rate
Gangrene,Lightheadedness
Gangrene,Shortness of breath
Gangrene,Confusion
Gastritis,Gnawing or burning ache or pain (indigestion) in your upper abdomen that may become either worse or better with eating
Gastritis,Nausea
Gastritis,Vomiting
Gastritis,A feeling of fullness in your upper abdomen after eating
Viral gastroenteritis (stomach flu),"Watery, usually nonbloody diarrhea — bloody diarrhea usually means you have a different, more severe infection"
Viral gastroenteritis (stomach flu),Abdominal cramps and pain
Viral gastroenteritis (stomach flu),"Nausea, vomiting or both"
Viral gastroenteritis (stomach flu),Occasional muscle aches or headache
Viral gastroenteritis (stomach flu),Low-grade fever
Gaucher disease,"Abdominal complaints. Because the liver and especially the spleen can enlarge dramatically, the abdomen can become painfully distended."
Gaucher disease,"Skeletal abnormalities. Gaucher disease can weaken bone, increasing the risk of painful fractures. It can also interfere with the blood supply to your bones, which can cause portions of the bone to die."
Gaucher disease,"Blood disorders. A decrease in healthy red blood cells (anemia) can result in severe fatigue. Gaucher disease also affects the cells responsible for clotting, which can cause easy bruising and nosebleeds."
Genital herpes,Pain or itching. You may experience pain and tenderness in your genital area until the infection clears.
Genital herpes,Small red bumps or tiny white blisters. These may appear a few days to a few weeks after infection.
Genital herpes,Ulcers. These may form when blisters rupture and ooze or bleed. Ulcers may make it painful to urinate.
Genital herpes,Scabs. Skin will crust over and form scabs as ulcers heal.
Giardia infection (giardiasis),"Watery, sometimes foul-smelling diarrhea that may alternate with soft, greasy stools"
Giardia infection (giardiasis),Fatigue
