disease,overview,treatment,when_to_see_doctor
Intussusception,"Intussusception is a rare, serious disorder in which one part of the intestine slides inside an adjacent part. Intussusception is a rare, serious disorder in which one part of the intestine slides inside an adjacent part. Intussusception (in-tuh-suh-SEP-shun) is a serious condition in which part of the intestine slides into an adjacent part of the intestine. This telescoping action often blocks food or fluid from passing through. Intussusception also cuts off the blood supply to the part of the intestine that's affected. This can lead to a tear in the bowel (perforation), infection and death of bowel tissue. Intussusception is the most common cause of intestinal obstruction in children younger than 3 years old. The cause of most cases of intussusception in children is unknown. Though intussusception is rare in adults, most cases of adult intussusception are the result of an underlying medical condition, such as a tumor. In children, the intestines can usually be pushed back into position with a minor procedure. In adults, surgery is often required to correct the problem.","A water soluble contrast or air enema. This is both a diagnostic procedure and a treatment. If an enema works, further treatment is usually not necessary. This treatment can actually fix intussusception 90% of the time in children, and no further treatment is needed. If the intestine is torn (perforated), this procedure can't be used.
Intussusception recurs up to 20% of the time, and the treatment will have to be repeated. It is important that a surgeon be consulted even if treatment with enema is planned. This is because of the small risk of a tear or rupture of the bowel with this therapy.
 Surgery. If the intestine is torn, if an enema is unsuccessful in correcting the problem or if a lead point is the cause, surgery is necessary. The surgeon will free the portion of the intestine that is trapped, clear the obstruction and, if necessary, remove any of the intestinal tissue that has died. Surgery is the main treatment for adults and for people who are acutely ill.","Intussusception requires emergency medical care. If you or your child develops the signs or symptoms listed above, seek medical help right away. In infants, remember that signs of abdominal pain may include recurrent bouts of pulling the knees to the chest and crying."
Invasive lobular carcinoma,Invasive lobular carcinoma is a type of breast cancer that begins in the milk-producing glands (lobules) of the breast. Invasive cancer means the cancer cells have broken out of the lobule where they began and have the potential to spread to the lymph nodes and other areas of the body. Invasive lobular carcinoma makes up a small portion of all breast cancers. The most common type of breast cancer begins in the breast ducts (invasive ductal carcinoma).,"Removing the cancer and a small portion of healthy tissue. Called a lumpectomy (wide local excision), this procedure allows you to keep most of your breast tissue.
The surgeon removes the tumor itself, as well as a margin of normal tissue surrounding the tumor to make sure all the cancer that can be removed is taken out.
If the tissue around the tumor shows signs of cancer cells (positive margins), you may need additional surgery until negative margins are achieved. In some cases, this may mean removing all of the breast tissue.
 Removing all of the breast tissue. Mastectomy is an operation to remove all of your breast tissue. During a total (simple) mastectomy the surgeon removes all of the breast tissue — the lobules, ducts, fatty tissue and skin, including the nipple and areola. Some other types of mastectomy may leave the skin or the nipple in place and may be options based on your specific situation. 
Sentinel lymph node biopsy. To determine whether cancer has spread to the lymph nodes near your breast, your surgeon identifies the first few lymph nodes that receive the lymph drainage from your cancer. These lymph nodes are removed and tested for breast cancer cells (sentinel node biopsy).
If no cancer is found, the chance of finding cancer in any of the remaining nodes is small and no other nodes need to be removed.
 Axillary lymph node dissection. If cancer is found in the sentinel node, then your surgeon may remove additional lymph nodes in your armpit (axillary lymph node dissection).
Knowing if cancer has spread to the lymph nodes helps determine the best course of treatment, including whether you'll need chemotherapy or radiation therapy.","Make an appointment with your doctor if you have any signs or symptoms that worry you. Your doctor will perform an examination and determine whether you need a diagnostic breast X-ray (mammogram) or a breast ultrasound. Ask your doctor when to begin screening tests for breast cancer to help detect cancer early and before you may have any signs or symptoms. Routine screening tests may include a physical exam and a mammogram. Various organizations differ on their screening recommendations, but many suggest women with an average risk of breast cancer consider beginning mammograms in their 40s. If you have a family history of breast cancer or other factors that increase your risk of breast cancer, your doctor may recommend beginning screening mammograms or other tests at an earlier age."
Iritis,"The uvea consists of the layer and structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye;(2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the eye; and (3) the choroid, which is the layer of blood vessels and connective tissue between the sclera and the retina. The uvea consists of the layer and structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye;(2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the eye; and (3) the choroid, which is the layer of blood vessels and connective tissue between the sclera and the retina. Iritis (i-RYE-tis) is swelling and irritation (inflammation) in the colored ring around your eye's pupil (iris). Another name for iritis is anterior uveitis. The uvea is the middle layer of the eye between the retina and the white part of the eye. The iris is located in the front portion (anterior) of the uvea. Iritis is the most common type of uveitis. Uveitis is inflammation of part of or all of the uvea. The cause is often unknown. It can result from an underlying condition or genetic factor. If untreated, iritis could lead to glaucoma or vision loss. See your doctor as soon as possible if you have symptoms of iritis.","Steroid eyedrops. Glucocorticoid medications, given as eyedrops, reduce inflammation. Dilating eyedrops. Eyedrops used to dilate your pupil can reduce the pain of iritis. Dilating eyedrops also protect you from developing complications that interfere with your pupil's function.","See an eye specialist (ophthalmologist) as soon as possible if you have symptoms of iritis. Prompt treatment helps prevent serious complications. If you have eye pain and vision problems with other signs and symptoms, you might need urgent medical care."
Jellyfish stings,"Jellyfish stings are relatively common problems for people swimming, wading or diving in seawaters. The long tentacles trailing from the jellyfish body can inject you with venom from thousands of microscopic barbed stingers. Jellyfish stings vary greatly in severity. Most often they result in immediate pain and red, irritated marks on the skin. Some jellyfish stings may cause more whole-body (systemic) illness. And in rare cases jellyfish stings are life-threatening. Most jellyfish stings get better with home treatment. Severe reactions require emergency medical care.","Carefully pluck visible tentacles with a fine tweezers. Soak the skin in hot water. Use water that's 110 to 113 F (43 to 45 C). If a thermometer isn't available, test the water on an uninjured person's hand or elbow — it should feel hot, not scalding. Keep the affected skin immersed or in a hot shower for 20 to 45 minutes.",Seek emergency treatment if you have severe symptoms.
Jock itch,"Jock itch is characterized by an itchy, red rash often on the groin and inner thighs. It occurs in warm, moist areas of the body and is common in athletes and people who are overweight or sweat a great deal.
 Jock itch is characterized by an itchy, red rash often on the groin and inner thighs. It occurs in warm, moist areas of the body and is common in athletes and people who are overweight or sweat a great deal. Jock itch (tinea cruris) is a fungal infection that causes a red and itchy rash in warm and moist areas of the body. The rash often affects the groin and inner thighs and may be shaped like a ring. Jock itch gets its name because it's common in athletes. It's also common in people who sweat a lot or who are overweight. Although often uncomfortable and bothersome, jock itch usually isn't serious. Treatment may involve keeping the groin area clean and dry and applying topical antifungal medications to the affected skin.",What's the most likely cause of my symptoms? Are tests needed to confirm the diagnosis? What treatments are available? Is this condition temporary or long lasting? Is there a generic alternative to the medicine you're prescribing? What can I do to prevent the infection from spreading? What skin care routines do you recommend while the condition heals?,See your doctor if your rash is painful or you develop a fever. And see your doctor if the rash hasn't improved after a week of treatment or if it hasn't cleared up completely after three weeks of treatment.
Patellar tendinitis,"Patellar tendinitis is an injury to the tendon connecting your kneecap (patella) to your shinbone. The patellar tendon works with the muscles at the front of your thigh to extend your knee so that you can kick, run and jump. Patellar tendinitis, also known as jumper's knee, is most common in athletes whose sports involve frequent jumping — such as basketball and volleyball. However, even people who don't participate in jumping sports can get patellar tendinitis. For most people, treatment of patellar tendinitis begins with physical therapy to stretch and strengthen the muscles around the knee.","Stretching exercises. Regular, steady stretching exercises can reduce muscle spasm and help lengthen the muscle-tendon unit. Don't bounce during your stretch. Strengthening exercises. Weak thigh muscles contribute to the strain on your patellar tendon. Exercises that involve lowering your leg very slowly after extending it can be particularly helpful, as can exercises that strengthen all of the leg muscles in combination, such as a leg press. Patellar tendon strap. A strap that applies pressure to your patellar tendon can help to distribute force away from the tendon and direct it through the strap instead. This may help relieve pain. Iontophoresis. This therapy involves spreading a corticosteroid medicine on your skin and then using a device that delivers a low electrical charge to push the medication through your skin.","For knee pain, try self-care measures first, such as icing the area and temporarily reducing or avoiding activities that trigger your symptoms. Call your doctor if your pain: 
Continues or worsens
Interferes with your ability to perform routine daily activities
Is associated with swelling or redness about the joint"
Kawasaki disease,"Kawasaki disease causes swelling (inflammation) in the walls of medium-sized arteries throughout the body. It primarily affects children. The inflammation tends to affect the coronary arteries, which supply blood to the heart muscle. Kawasaki disease is sometimes called mucocutaneous lymph node syndrome because it also affects glands that swell during an infection (lymph nodes), skin, and the mucous membranes inside the mouth, nose and throat. Signs of Kawasaki disease, such as a high fever and peeling skin, can be frightening. The good news is that Kawasaki disease is usually treatable, and most children recover from Kawasaki disease without serious problems.","Gamma globulin. Infusion of an immune protein (gamma globulin) through a vein (intravenously) can lower the risk of coronary artery problems. 
Aspirin. High doses of aspirin may help treat inflammation. Aspirin can also decrease pain and joint inflammation, as well as reduce the fever.
Kawasaki treatment is a rare exception to the rule that says aspirin shouldn't be given to children. Aspirin has been linked to Reye's syndrome, a rare but potentially life-threatening condition, in children recovering from chickenpox or flu. Children should be given aspirin only under the supervision of a doctor.","If your child has a fever that lasts more than three days, contact your child's doctor. Also, see your child's doctor if your child has a fever along with four or more of the following signs and symptoms: 
Redness in both eyes
A very red, swollen tongue
Redness of the palms or soles
Skin peeling
A rash
Swollen lymph nodes
 Treating Kawasaki disease within 10 days of when it began may greatly reduce the chances of lasting damage."
Keloid scar,"An ear keloid sometimes develops after a piercing. An ear keloid sometimes develops after a piercing. A keloid is usually larger than the original wound. A scar that stays inside the bounds of the original wound is a hypertrophic scar. A keloid is usually larger than the original wound. A scar that stays inside the bounds of the original wound is a hypertrophic scar. A keloid scar is a thick raised scar. It can occur wherever you have a skin injury but usually forms on earlobes, shoulders, cheeks or the chest. If you're prone to developing keloids, you might get them in more than one place. A keloid scar isn't harmful to your physical health, but it can cause emotional distress. Prevention or early treatment is key. Keloid scar treatment is possible. If you don't like how a keloid looks or feels, talk with a doctor about how to flatten or remove it. Even with treatment, a keloid can last for years or recur.","Wound care. For newer keloids, the first treatment option might be compression dressings made from stretchy fabric or other materials. This method is also used after surgery to remove keloids. The goal is to reduce or prevent a scar by putting pressure on the wound as it heals. Such dressings need to be worn for 12 to 24 hours a day for 4 to 6 months to be effective. This method can be very uncomfortable. Corticosteroid cream. Applying a prescription strength corticosteroid cream can help ease itchiness. Injected medicine. If you have a smaller keloid, your doctor might try reducing its thickness by injecting it with cortisone or other steroids. You'll likely need monthly injections for up to six months before seeing the scar flatten. Possible side effects of corticosteroid injections are skin thinning, spider veins and a permanent change in skin color (hypopigmentation or hyperpigmentation). Freezing the scar. Small keloids might be reduced or removed by freezing them with liquid nitrogen (cryotherapy). Repeat treatments might be needed. Possible side effects of cryotherapy are blistering, pain and loss of skin color (hypopigmentation). Laser treatment. Larger keloids can be flattened by pulsed-dye laser sessions. This method has also been useful in easing itchiness and causing keloids to fade. Pulsed-dye laser therapy is delivered over several sessions with 4 to 8 weeks between sessions. Your doctor might recommend combining laser therapy with cortisone injections. Possible side effects, which are more common in people with darker skin, include hypopigmentation or hyperpigmentation, blistering and crusting. Radiation therapy. Low-level X-ray radiation alone or after surgical removal of a keloid can help shrink or minimize the scar tissue. Repeat treatments might be needed. Possible side effects of radiation therapy are skin complications and, in the long term, cancer. Surgical removal. If your keloid hasn't responded to other therapies, your doctor might recommend removing it with surgery in combination with other methods. Surgery alone has a recurrence rate of 45% to 100%.","Early treatment can help minimize growth of a keloid. Talk with a doctor soon after you notice a keloid. If you want to treat one that you've had for a while, talk with a doctor who specializes in skin conditions (dermatologist)."
Keratitis,"Keratitis is an inflammation of the cornea — the clear, dome-shaped tissue on the front of your eye that covers the pupil and iris. Keratitis may or may not be associated with an infection. Noninfectious keratitis can be caused by a relatively minor injury, by wearing your contact lenses too long or by a foreign body in the eye. Infectious keratitis can be caused by bacteria, viruses, fungi and parasites. If you have eye redness or other symptoms of keratitis, make an appointment to see your doctor. With prompt attention, mild to moderate cases of keratitis can usually be effectively treated without loss of vision. If left untreated, or if an infection is severe, keratitis can lead to serious complications that may permanently damage your vision.","Bacterial keratitis. For mild bacterial keratitis, antibacterial eyedrops may be all you need to effectively treat the infection. If the infection is moderate to severe, you may need to take oral antibiotics to get rid of the infection. Fungal keratitis. Keratitis caused by fungi typically requires antifungal eyedrops and oral antifungal medication. Viral keratitis. If a virus is causing the infection, antiviral eyedrops and oral antiviral medications may be effective. Other viruses need only supportive care such as artificial tear drops. Acanthamoeba keratitis. Keratitis that's caused by the tiny parasite acanthamoeba can be difficult to treat. Antibiotic eyedrops are used, but some acanthamoeba infections are resistant to medication. Severe cases of acanthamoeba keratitis may require a cornea transplant.","If you notice any of the signs or symptoms of keratitis, make an appointment to see your doctor right away. Delays in diagnosis and treatment of keratitis can lead to serious complications, including blindness."
Keratoconus,"In keratoconus, your cornea thins and gradually bulges outward into a cone shape. This can cause blurry, distorted vision. In keratoconus, your cornea thins and gradually bulges outward into a cone shape. This can cause blurry, distorted vision. Keratoconus (ker-uh-toe-KOH-nus) occurs when your cornea — the clear, dome-shaped front surface of your eye — thins and gradually bulges outward into a cone shape. A cone-shaped cornea causes blurred vision and may cause sensitivity to light and glare. Keratoconus usually affects both eyes, though it often affects one eye more than the other. It generally begins to affect people between the ages of 10 and 25. The condition may progress slowly for 10 years or longer.  In the early stages of keratoconus, you might be able to correct vision problems with glasses or soft contact lenses. Later, you may have to be fitted with rigid, gas permeable contact lenses or other types of lenses, such as scleral lenses. If your condition progresses to an advanced stage, you may need a cornea transplant. A new treatment called corneal collagen cross-linking may help to slow or stop keratoconus from progressing, possibly preventing the need for a future cornea transplant. This treatment may be offered in addition to the vision correction options above.","Eyeglasses or soft contact lenses. Glasses or soft contact lenses can correct blurry or distorted vision in early keratoconus. But people frequently need to change their prescription for eyeglasses or contacts as the shape of their corneas change. Hard contact lenses. Hard (rigid, gas permeable) contact lenses are often the next step in treating more-advanced keratoconus. Hard lenses may feel uncomfortable at first, but many people adjust to wearing them and they can provide excellent vision. This type of lens can be made to fit your corneas. Piggyback lenses. If rigid lenses are uncomfortable, your doctor may recommend ""piggybacking"" a hard contact lens on top of a soft one. Hybrid lenses. These contact lenses have a rigid center with a softer ring around the outside for increased comfort. People who can't tolerate hard contact lenses may prefer hybrid lenses. Scleral lenses. These lenses are useful for very irregular shape changes in your cornea in advanced keratoconus. Instead of resting on the cornea like traditional contact lenses do, scleral lenses sit on the white part of the eye (sclera) and vault over the cornea without touching it.","See your eye doctor (ophthalmologist or optometrist) if your eyesight is worsening rapidly, which might be caused by an irregular curvature of the eye (astigmatism). He or she may also look for signs of keratoconus during routine eye exams."
Kidney stones,"Your urinary system — which includes your kidneys, ureters, bladder and urethra — removes waste from your body through urine. Your kidneys, located in the rear portion of your upper abdomen, produce urine by filtering waste and fluid from your blood. Your urinary system — which includes your kidneys, ureters, bladder and urethra — removes waste from your body through urine. Your kidneys, located in the rear portion of your upper abdomen, produce urine by filtering waste and fluid from your blood. Your urinary system — which includes your kidneys, ureters, bladder and urethra — removes waste from your body through urine. Your kidneys, located in the rear portion of your upper abdomen, produce urine by filtering waste and fluid from your blood. Your urinary system — which includes your kidneys, ureters, bladder and urethra — removes waste from your body through urine. Your kidneys, located in the rear portion of your upper abdomen, produce urine by filtering waste and fluid from your blood. Kidney stones (also called renal calculi, nephrolithiasis or urolithiasis) are hard deposits made of minerals and salts that form inside your kidneys. Diet, excess body weight, some medical conditions, and certain supplements and medications are among the many causes of kidney stones. Kidney stones can affect any part of your urinary tract — from your kidneys to your bladder. Often, stones form when the urine becomes concentrated, allowing minerals to crystallize and stick together. Passing kidney stones can be quite painful, but the stones usually cause no permanent damage if they're recognized in a timely fashion. Depending on your situation, you may need nothing more than to take pain medication and drink lots of water to pass a kidney stone.  In other instances — for example, if stones become lodged in the urinary tract, are associated with a urinary infection or cause complications — surgery may be needed. Your doctor may recommend preventive treatment to reduce your risk of recurrent kidney stones if you're at increased risk of developing them again.","Drinking water. Drinking as much as 2 to 3 quarts (1.8 to 3.6 liters) a day will keep your urine dilute and may prevent stones from forming. Unless your doctor tells you otherwise, drink enough fluid — ideally mostly water — to produce clear or nearly clear urine. Pain relievers. Passing a small stone can cause some discomfort. To relieve mild pain, your doctor may recommend pain relievers such as ibuprofen (Advil, Motrin IB, others) or naproxen sodium (Aleve). Medical therapy. Your doctor may give you a medication to help pass your kidney stone. This type of medication, known as an alpha blocker, relaxes the muscles in your ureter, helping you pass the kidney stone more quickly and with less pain. Examples of alpha blockers include tamsulosin (Flomax) and the drug combination dutasteride and tamsulosin (Jalyn).","Make an appointment with your doctor if you have any signs and symptoms that worry you. Seek immediate medical attention if you experience: 
Pain so severe that you can't sit still or find a comfortable position
Pain accompanied by nausea and vomiting
Pain accompanied by fever and chills
Blood in your urine
Difficulty passing urine"
Klinefelter syndrome,"Klinefelter syndrome is a genetic condition that results when a boy is born with an extra copy of the X chromosome. Klinefelter syndrome is a genetic condition affecting males, and it often isn't diagnosed until adulthood. Klinefelter syndrome may adversely affect testicular growth, resulting in smaller than normal testicles, which can lead to lower production of testosterone. The syndrome may also cause reduced muscle mass, reduced body and facial hair, and enlarged breast tissue. The effects of Klinefelter syndrome vary, and not everyone has the same signs and symptoms. Most men with Klinefelter syndrome produce little or no sperm, but assisted reproductive procedures may make it possible for some men with Klinefelter syndrome to father children.","Testosterone replacement therapy. Starting at the time of the usual onset of puberty, testosterone replacement therapy can be given to help stimulate changes that normally occur at puberty, such as developing a deeper voice, growing facial and body hair, and increasing muscle mass and sexual desire (libido). Testosterone replacement therapy can also improve bone density and reduce the risk of fractures, and it may improve mood and behavior. It will not improve infertility. Breast tissue removal. In males who develop enlarged breasts, excess breast tissue can be removed by a plastic surgeon, leaving a more typical-looking chest. Speech and physical therapy. These treatments can help boys with Klinefelter syndrome who have problems with speech, language and muscle weakness. Educational evaluation and support. Some boys with Klinefelter syndrome have trouble learning and socializing and can benefit from extra assistance. Talk to your child's teacher, school counselor or school nurse about what kind of support might help. Fertility treatment. Most men with Klinefelter syndrome are typically unable to father children because few or no sperm are produced in the testicles. For some men with minimal sperm production, a procedure called intracytoplasmic sperm injection (ICSI) may help. During ICSI, sperm is removed from the testicle with a biopsy needle and injected directly into the egg. Psychological counseling. Having Klinefelter syndrome can be a challenge, especially during puberty and young adulthood. For men with the condition, coping with infertility can be difficult. A family therapist, counselor or psychologist can help work through the emotional issues.","See a doctor if you or your son has: 
Slow development during infancy or boyhood. Delays in growth and development can be the first sign of a number of conditions that need treatment — including Klinefelter syndrome. Though some variation in physical and mental development is normal, it's best to check with a doctor if you have any concerns.
Male infertility. Many men with Klinefelter syndrome aren't diagnosed with infertility until they realize they're unable to father a child."
Klippel-Trenaunay syndrome,"Klippel-Trenaunay (klih-PEL tray-no-NAY) syndrome ― also called KTS ― is a rare disorder found at birth (congenital) involving abnormal development of blood vessels, soft tissues (such as skin and muscles), bones, and the lymphatic system. The main features include a red birthmark (port-wine stain), overgrowth of tissues and bones, and vein malformations with or without lymphatic abnormalities. Although there is no cure for KTS, the goal is to manage symptoms and prevent complications.","Compression therapy. Bandages or elastic garments are wrapped around affected limbs to help prevent swelling, problems with varicose veins and skin ulcers. These bandages or elastic garments often need to be custom-fit. Intermittent pneumatic compression devices — leg or arm sleeves that automatically inflate and deflate at set intervals — may be used. Physical therapy. Massage, compression and limb movement as appropriate may help relieve lymphedema in arms or legs and swelling of the blood vessels. Orthopedic devices. These may include orthopedic shoes or shoe inserts to compensate for differences in leg length. Epiphysiodesis (ep-ih-fiz-e-OD-uh-sis). This is an orthopedic surgical procedure that effectively can stop length overgrowth of the lower limb. Embolization. This procedure, performed through small catheters placed into the veins or arteries, blocks blood flow to certain blood vessels. Laser therapy. This procedure may be used to lighten port-wine stains and to treat early blebs on the skin. Laser or radiofrequency ablation of veins. This minimally invasive procedure is used to close off abnormal veins. Sclerotherapy. A solution is injected into a vein, which creates scar tissue that helps close the vein. Surgery. In some cases, surgical removal or reconstruction of affected veins, removal of excess tissue, and correction of the overgrowth of bone may be beneficial. Medication. Early research indicates that a drug called sirolimus (Rapamune) may help to treat symptomatic complex vascular malformations, but it may have significant side effects and more studies are needed.","Klippel-Trenaunay syndrome is usually identified at birth. It's important to get a prompt, accurate diagnosis and appropriate care to treat symptoms and prevent complications."
Knee pain,"Knee pain is a common complaint that affects people of all ages. Knee pain may be the result of an injury, such as a ruptured ligament or torn cartilage. Medical conditions — including arthritis, gout and infections — also can cause knee pain. Many types of minor knee pain respond well to self-care measures. Physical therapy and knee braces also can help relieve pain. In some cases, however, your knee may require surgical repair.","Corticosteroids. Injections of a corticosteroid drug into your knee joint may help reduce the symptoms of an arthritis flare and provide pain relief that may last a few months. These injections aren't effective in all cases. Hyaluronic acid. A thick fluid, similar to the fluid that naturally lubricates joints, hyaluronic acid can be injected into your knee to improve mobility and ease pain. Although study results have been mixed about the effectiveness of this treatment, relief from one or a series of shots may last as long as six months. Platelet-rich plasma (PRP). PRP contains a concentration of many different growth factors that appear to reduce inflammation and promote healing. Some studies have found that PRP may benefit certain people with osteoarthritis, but more studies are needed.","Call your doctor if you: 
Can't bear weight on your knee or feel as if your knee is unstable or gives out
Have marked knee swelling
Are unable to fully extend or flex your knee
See an obvious deformity in your leg or knee
Have a fever, in addition to redness, pain and swelling in your knee
Have severe knee pain that is associated with an injury"
Lactose intolerance,"The small intestine is a hollow tube that runs from the stomach to the large intestine (colon). The small intestine is a hollow tube that runs from the stomach to the large intestine (colon). People with lactose intolerance are unable to fully digest the sugar (lactose) in milk. As a result, they have diarrhea, gas and bloating after eating or drinking dairy products. The condition, which is also called lactose malabsorption, is usually harmless, but its symptoms can be uncomfortable. Too little of an enzyme produced in your small intestine (lactase) is usually responsible for lactose intolerance. You can have low levels of lactase and still be able to digest milk products. But if your levels are too low you become lactose intolerant, leading to symptoms after you eat or drink dairy.  Most people with lactose intolerance can manage the condition without having to give up all dairy foods.",Limit milk and other dairy products Include small servings of dairy products in your regular meals Eat and drink lactose-reduced ice cream and milk Add a liquid or powder lactase enzyme to milk to break down the lactose,"Make an appointment with your doctor if you frequently have symptoms of lactose intolerance after eating dairy foods, particularly if you're worried about getting enough calcium."
Left ventricular hypertrophy,"Left ventricular hypertrophy is a thickening of the wall of the heart's main pumping chamber. This thickening may result in elevation of pressure within the heart and sometimes poor pumping action. The most common cause is high blood pressure. Left ventricular hypertrophy is a thickening of the wall of the heart's main pumping chamber. This thickening may result in elevation of pressure within the heart and sometimes poor pumping action. The most common cause is high blood pressure. Left ventricular hypertrophy is enlargement and thickening (hypertrophy) of the walls of your heart's main pumping chamber (left ventricle). The thickened heart wall loses elasticity, leading to increased pressure to allow the heart to fill its pumping chamber to send blood to the rest of the body. Eventually, the heart may fail to pump with as much force as needed. Left ventricular hypertrophy is more common in people who have uncontrolled high blood pressure. But no matter what your blood pressure is, developing left ventricular hypertrophy puts you at higher risk of congestive heart failure and irregular heart rhythms. If left ventricular hypertrophy is caused by high blood pressure, treating high blood pressure can help ease your symptoms and may reverse left ventricular hypertrophy.","Angiotensin-converting enzyme (ACE) inhibitors. These medications widen blood vessels to lower blood pressure, improve blood flow and decrease the heart's workload. Examples include captopril, enalapril (Vasotec) and lisinopril (Prinivil, Zestril, Zestoretic). Side effects might include an irritating dry cough in a small percentage of people. Angiotensin II receptor blockers (ARBs). Medications such as losartan (Cozaar) have benefits similar to ACE inhibitors but don't cause a persistent cough. Calcium channel blockers. These medications prevent calcium from entering cells of the heart and blood vessel walls. This relaxes the muscle in the vessel walls, which lets the blood vessels open wider and reduces blood pressure. Examples include amlodipine (Norvasc) and diltiazem (Cardizem, Tiazac). Diuretics. Medications known as thiazide-type diuretics reduce the amount of fluid in your blood vessels, lowering blood pressure. Examples include chlorthalidone and hydrochlorothiazide (Microzide). Beta blockers. Medications such as atenolol (Tenormin) can lower your heart rate, reduce blood pressure and prevent some of the harmful effects of stress hormones. Beta blockers aren't usually given as an initial treatment for hypertension. Your doctor might recommend adding a beta blocker if another type of medication isn't effective alone.","Seek emergency care if: 
You feel chest pain that lasts more than a few minutes
You have severe difficulty breathing
You have severe lightheadedness or lose consciousness
You have a sudden, severe headache, difficulty speaking, or weakness on one side of your body
 If you experience mild shortness of breath or other symptoms, such as palpitations, see your doctor. If you have high blood pressure or another condition that increases your risk of left ventricular hypertrophy, your doctor is likely to recommend regular appointments to monitor your heart."
Legg-Calve-Perthes disease,"The hip joint is a ball-and-socket joint. The ball (femoral head) is at the top of the thigh bone (femur) and the socket (acetabulum) is part of the hipbone. The hip joint is a ball-and-socket joint. The ball (femoral head) is at the top of the thigh bone (femur) and the socket (acetabulum) is part of the hipbone. Legg-Calve-Perthes (LEG-kahl-VAY-PER-tuz) disease is a childhood condition that occurs when blood supply to the ball part (femoral head) of the hip joint is temporarily interrupted and the bone begins to die. This weakened bone gradually breaks apart and can lose its round shape. The body eventually restores blood supply to the ball, and the ball heals. But if the ball is no longer round after it heals, it can cause pain and stiffness. The complete process of bone death, fracture and renewal can take several years. To keep the ball part of the joint as round as possible, doctors use a variety of treatments that keep it snug in the socket portion of the joint. The socket acts as a mold for the fragmented femoral head as it heals.",Age when symptoms began Stage of the disease Amount of hip damage,"Make an appointment with your doctor if your child begins limping or complains of hip, groin or knee pain. If your child has a fever or can't bear weight on the leg, seek emergency medical care. Causes Legg-Calve-Perthes disease occurs when too little blood is supplied to the ball portion of the hip joint (femoral head). Without enough blood, this bone becomes weak and fractures easily. The cause of the temporary reduction in blood flow to the femoral head remains unknown. Risk factors Risk factors for Legg-Calve-Perthes disease include: 
Age. Although Legg-Calve-Perthes disease can affect children of nearly any age, it most commonly begins between ages 4 and 10.
Your child's sex. Legg-Calve-Perthes is about four times more common in boys than in girls.
Race. White children are more likely to develop the disorder than are black children.
Genetic mutations. For a small number of people, Legg-Calve-Perthes disease appears to be linked to mutations in certain genes, but more study is needed.
 Complications Children who have had Legg-Calve-Perthes disease are at higher risk of developing hip arthritis in adulthood — particularly if the hip joint heals in an abnormal shape. If the hipbones don't fit together well after healing, the joint can wear out early. In general, children who are diagnosed with Legg-Calve-Perthes after age 6 are more likely to develop hip problems later in life. The younger the child is at the time of diagnosis, the better the chances for the hip joint to heal in a normal, round shape."
Legionnaires' disease,"Legionnaires' disease is a severe form of pneumonia — lung inflammation usually caused by infection. It's caused by a bacterium known as legionella. Most people catch Legionnaires' disease by inhaling the bacteria from water or soil. Older adults, smokers and people with weakened immune systems are particularly susceptible to Legionnaires' disease. The legionella bacterium also causes Pontiac fever, a milder illness resembling the flu. Pontiac fever usually clears on its own, but untreated Legionnaires' disease can be fatal. Although prompt treatment with antibiotics usually cures Legionnaires' disease, some people continue to have problems after treatment.","Key information about your illness, including your symptoms and when they began. Record your temperature. Relevant personal information, including recent hospitalizations and whether you've recently traveled and where you stayed. All medications, vitamins and other supplements you take, including doses. Questions to ask your doctor. What is likely causing my symptoms? What are other possible causes? What tests do I need? What is the best course of action? I have other health conditions. How will this illness affect them? Is it possible to avoid hospitalization? If not, how many days will I be hospitalized?","See your doctor if you think you've been exposed to legionella bacteria. Diagnosing and treating Legionnaires' disease as soon as possible can help shorten the recovery period and prevent serious complications. For people at high risk, such as smokers or older adults, prompt treatment is critical."
